,,,,Will get data from JRC,Will get data from JRC,Will get data from JRC,"Data from OPHI, Deprived in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Security Incidents,Security Incidents,Physical exposure to Flood,Total affected by Drought,Frequency of Drought events,"EDUCATION:
Schooling (% of population)","EDUCATION:
Child school attendance (% of population)","HEALTH:
Child mortality (% of population)","HEALTH
Nutrition (% of population)","LIVING STANDARDS:
Electricity (No Access - % of population)",Access to electricity,"LIVING STANDARDS:
Deprived in Improved sanitation (% of population)","LIVING STANDARDS:
Drinking water (% of population)",Access to improved water source,"LIVING STANDARDS:
Floor (% of population)","LIVING STANDARDS:
Cooking fuel (% of population)
fuel","LIVING STANDARDS:
Asset ownership (% of population)",Multi-Dimensional Poverty Index,"Headcount ratio: Population in multidimensional poverty
(H)",poverty headcount ratio - below '05 PPP $1.25/day,poverty headcount - below '05 PPP $1.25/day,"Intensity of deprivation among the poor
(A) ",Inequality among the poor,"Population
 vulnerable to poverty
(experiencing intensity between 20–32.9% ) ","Population in 
severe poverty
(experiencing intensity higher than  50%)",Human Development Index,Poverty,Poverty gap,Net primary school attendance rate,Under five mortality,"INCOME INEQUALITY:
Gini coefficient","FOOD SECURITY:
IPC","LIVING STANDARDS:
Drinking water (% of population)",Internally displaced persons (IDPs),"Refugees
(By Country of Asylum)","CAPACITY TO COPE (Insititutional):
DRR","CAPACITY TO COPE (Institutional):
Government Effectiveness - World Governance Indicators ","CAPACITY TO COPE (INFRASTRUCTURE):
Paved Roads as a % of Total Roads","CAPACITY TO COPE (INFRASTRUCTURE):
Mobile cellular subscriptions per 100","CAPACITY TO COPE (INFRASTRUCTURE):
Physicians Density","CAPACITY TO COPE (FINANCIAL):
Ethiopia,Afar,10,23,,,,68.3,46.5,44.9,76.8,75,25,93.1,74.5,25.5,90.2,99.6,81.4,  0.66 ,  90.89 ,  0.35000 ,"  78,706 ",  72.90 ,  0.33 ,  4.19 ,  79.72 ,,,,,,,,,,"28,565",,,,,,,,,,,,,,,,,,,,,,,,,,127.0,40.2,30,,1.8,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,"  1,634,000 ","  72,052.8 ",,,,,,,,,,,,64,18.4,10.3,8.6,,,,,,,,,,,,,,,,,,
Ethiopia,Amhara,36,199,,,,51.5,37.1,42,62.3,84.5,15.5,88.3,61.4,38.6,95.9,99.3,87,  0.59 ,  90.13 ,  0.38800 ,"  6,468,739 ",  65.25 ,  0.28 ,  5.97 ,  74.58 ,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,108.0,33.4,62,,1.6,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,"  19,626,000 ","  154,709.0 ",,,,,,,,,,,,76,47,38.4,26.3,,,,,,,,,,,,,,,,,,
Ethiopia,Benishangul Gumuz,3,21,,,,53.4,33.5,45.2,60.2,87.8,12.2,93.6,53,47,94.2,100,83.5,  0.58 ,  89.83 ,  0.32700 ,"  248,832 ",  65.05 ,  0.25 ,  5.66 ,  74.28 ,,,,,,,,,,"45,163",,,,,,,,,,,,,,,,,,,,,,,,,,169.0,31.9,67,,1.3,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,"  947,000 ","  50,698.7 ",,,,,,,,,,,,101,45.7,41.7,23.6,,,,,,,,,,,,,,,,,,
Ethiopia,Dire Dawa,5,0,,,,34.6,26.1,28.4,49.6,37.7,62.3,73.6,34.2,65.8,39.6,87.6,48.5,  0.34 ,  54.89 ,  0.39400 ,"  104,879 ",  61.55 ,  0.35 ,  19.37 ,  38.52 ,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,27.6,80,,4.0,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,"  415,000 ","  1,558.6 ",,,,,,,,,,,,60,79.3,75.3,58.6,,,,,,,,,,,,,,,,,,
Ethiopia,Gambella,15,78,,,,26.5,28.3,34.5,64.1,79.1,20.9,86.7,49,51,84.4,99.8,64.7,  0.47 ,  81.20 ,,,  58.42 ,  0.23 ,  11.68 ,  57.51 ,,,,,,,,,,"242,556",,,,,,,,,,,,,,,,,,,,,,,,,,123.0,20.7,52,,6.5,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,"  383,000 ","  29,782.8 ",,,,,,,,,,,,76,41.5,27.6,15.5,,,,,,,,,,,,,,,,,,
Ethiopia,Harari,2,8,,,,30.2,24,27,48.8,22.3,77.7,82.6,41.2,58.8,57.3,84.2,43.2,  0.33 ,  57.90 ,  0.26000 ,"  44,141 ",  57.45 ,  0.32 ,  16.82 ,  36.56 ,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,21.5,65,,2.8,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,"  220,000 ",  333.9 ,,,,,,,,,,,,64,59.6,51.8,34.1,,,,,,,,,,,,,,,,,,
Ethiopia,Oromiya,105,408,,,,49.9,43.8,38.4,57.8,85.8,14.2,94,74.6,25.4,91.5,99.4,80.6,  0.59 ,  91.24 ,  0.32000 ,"  8,201,276 ",  64.83 ,  0.28 ,  5.22 ,  74.87 ,,,,,,,,,,"3,107",,,,,,,,,,,,,,,,,,,,,,,,,,112.0,26.0,46,,1.0,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,"  31,948,000 ","  284,537.8 ",,,,,,,,,,,,73,35.8,26.8,15.6,,,,,,,,,,,,,,,,,,
Ethiopia,SNNPR,7,83,,,,46.9,46.5,39.1,50.2,86,14,93.3,75.8,24.2,84.6,99,81.8,  0.57 ,  89.67 ,0.418000,"  289,640 ",  63.99 ,  0.30 ,  6.09 ,  73.21 ,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,28.3,58,,0.9,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,"  17,403,000 ","  105,887.2 ",,,,,,,,,,,,78,46.9,38.1,24.1,,,,,,,,,,,,,,,,,,
Ethiopia,Somali,114,936,,,,63.5,48.6,47.8,68.9,81.3,18.7,87.4,79.1,20.9,77.4,99.5,79.9,  0.65 ,  92.98 ,  0.42800 ,"  5,628,471 ",  69.62 ,  0.28 ,  4.97 ,  81.88 ,,,,,,,,,,"244,007",,,,,,,,,,,,,,,,,,,,,,,,,,122.0,33.5,40,,1.1,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,"  5,165,000 ","  279,252.0 ",,,,,,,,,,,,71,27.9,25.3,16.6,,,,,,,,,,,,,,,,,,
Ethiopia,Tigray,10,27,,,,42.3,31,34.9,70,78.7,21.3,89.6,54.7,45.3,87.7,97.6,78.6,  0.54 ,  85.37 ,  0.47200 ,"  1,968,699 ",  62.95 ,  0.28 ,  9.36 ,  66.25 ,,,,,,,,,,"91,556",,,,,,,,,,,,,,,,,,,,,,,,,,85.0,35.1,84,,1.8,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,"  4,866,000 ","  41,410.0 ",,,,,,,,,,,,64,76.4,73.4,58.9,,,,,,,,,,,,,,,,,,
